Serial_number,App_Size,App_Price,Installs,User_Rating,Content_Rating,Category,currency,Type
246,194386944,0.99,26482,3.5,4+,Games,USD,
247,49470464,0,273,3,12+,News,USD,
248,147118080,2.99,8331,4,12+,Music,USD,
249,125411328,0.99,17023,4,4+,Games,USD,
250,63316992,4.99,1101,4,4+,Games,USD,
251,15313920,0.99,1193,4,17+,Games,USD,
252,69816320,0,35,2.5,17+,Sports,USD,
253,32848910,1.99,4088,4,4+,Games,USD,
254,52821364,4.99,63943,4,17+,Games,USD,
255,146507776,0,70286,3,4+,Shopping,USD,
256,24747008,0,1150,2.5,4+,Business,USD,
257,89517056,0,54630,2.5,4+,Shopping,USD,
258,40722432,0,98777,3,4+,Entertainment,USD,
259,73332736,0.99,649,4,4+,Photo & Video,USD,
260,83906560,0,60236,3,12+,Entertainment,USD,
262,37340259,0.99,26732,4,17+,Games,USD,
263,26137600,1.99,2722,4.5,4+,Shopping,USD,
264,107816960,0,11013,3.5,4+,Shopping,USD,
265,152700928,0,507706,4.5,4+,Health & Fitness,USD,
266,112024576,0,397,4.5,4+,Travel,USD,
267,35864576,9.99,196,4,4+,Productivity,USD,
268,49594368,3.99,24553,4,9+,News,USD,
269,114081792,2.99,12557,3.5,4+,Photo & Video,USD,
270,91267072,0,26227,4,9+,Music,USD,
271,8821760,4.99,28388,5,4+,Business,USD,
272,69513216,2.99,282,4,4+,Health & Fitness,USD,
273,7767040,0.99,19296,4,4+,Games,USD,
274,88702976,0,183425,4.5,12+,Entertainment,USD,
275,175966208,0,824451,4.5,4+,Games,USD,
276,84791296,0,512,3.5,4+,Travel,USD,
277,27997184,2.99,315,3.5,4+,Lifestyle,USD,
278,131463168,0,268,3.5,4+,Travel,USD,
279,5415000,1.99,438,4.5,4+,Games,USD,
280,126867456,0,187,3.5,4+,Navigation,USD,
281,878883840,4.99,15142,4,17+,Games,USD,
282,88773632,0,30552,3,4+,Travel,USD,
283,812758016,2.99,9744,3.5,12+,Games,USD,
284,28616704,0,13482,4.5,4+,Education,USD,
285,7111680,0,17516,3.5,4+,Finance,USD,
286,34056767,0,186653,3.5,4+,Games,USD,
287,21450752,0.99,10031,4,4+,Entertainment,USD,
288,97879040,0,81,3,4+,Entertainment,USD,
289,22299021,0.99,9854,4,4+,Games,USD,
290,10231808,2.99,1093,4,9+,Travel,USD,
291,132480000,2.99,4475,4.5,4+,Health & Fitness,USD,
292,47182848,2.99,9405,4,4+,Games,USD,
293,100048896,1.99,2417,4.5,4+,Health & Fitness,USD,
294,174839808,0.99,2923,4.5,4+,Business,USD,
295,13725696,2.99,8657,3.5,9+,Entertainment,USD,
296,11369472,0.99,70,2,4+,Photo & Video,USD,
298,38718464,0.99,5,4,4+,Lifestyle,USD,
299,17879270,0.99,12354,4,12+,Games,USD,
300,96635904,0,269,3,12+,Social Networking,USD,
301,8039424,3.99,0,0,9+,Book,USD,
302,105379840,0.99,426463,5,9+,Games,USD,
303,199585792,0,7265,3.5,17+,Social Networking,USD,
304,244516864,0,844,4,17+,Lifestyle,USD,
306,157625344,0,34428,4.5,17+,Social Networking,USD,
307,75612160,1.99,36946,4.5,4+,Games,USD,
308,68153344,0,21090,4.5,4+,Finance,USD,
309,84469760,2.99,653,4.5,12+,Games,USD,
310,100368384,3.99,1118,4.5,4+,Education,USD,
311,7344128,1.99,348,4,4+,Productivity,USD,
312,25097281,1.99,207,3.5,9+,Utilities,USD,
313,43439104,0,5000,4.5,12+,Health & Fitness,USD,
314,83851264,3.99,15188,4.5,12+,Health & Fitness,USD,
315,118980608,0,18572,4.5,12+,News,USD,
316,76394496,4.99,6403,4.5,4+,Games,USD,
317,127382528,0,417779,4.5,12+,Shopping,USD,
